ACADIA Pharmaceuticals Quarterly Net Income (Millions of US $),ACADIA Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$33
2024-03-31,$17
2023-12-31,$46
2023-09-30,$-65
2023-06-30,$1
2023-03-31,$-43
2022-12-31,$-42
2022-09-30,$-27
2022-06-30,$-34
2022-03-31,$-113
2021-12-31,$-43
2021-09-30,$-14
2021-06-30,$-44
2021-03-31,$-66
2020-12-31,$-67
2020-09-30,$-85
2020-06-30,$-42
2020-03-31,$-88
2019-12-31,$-53
2019-09-30,$-42
2019-06-30,$-55
2019-03-31,$-85
2018-12-31,$-65
2018-09-30,$-62
2018-06-30,$-63
2018-03-31,$-54
2017-12-31,$-69
2017-09-30,$-65
2017-06-30,$-67
2017-03-31,$-88
2016-12-31,$-79
2016-09-30,$-72
2016-06-30,$-71
2016-03-31,$-50
2015-12-31,$-46
2015-09-30,$-39
2015-06-30,$-39
2015-03-31,$-40
2014-12-31,$-28
2014-09-30,$-25
2014-06-30,$-21
2014-03-31,$-18
2013-12-31,$-12
2013-09-30,$-11
2013-06-30,$-9
2013-03-31,$-6
2012-12-31,$-7
2012-09-30,$-2
2012-06-30,$-5
2012-03-31,$-6
2011-12-31,$-5
2011-09-30,$-5
2011-06-30,$-7
2011-03-31,$-6
2010-12-31,$29
2010-09-30,$-4
2010-06-30,$-4
2010-03-31,$-5
2009-12-31,$-9
2009-09-30,$-9
2009-06-30,$-13
2009-03-31,$-15
