Iovance Biotherapeutics Quarterly Net Income (Millions of US $),Iovance Biotherapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-97
2024-03-31,$-113
2023-12-31,$-116
2023-09-30,$-114
2023-06-30,$-107
2023-03-31,$-107
2022-12-31,$-105
2022-09-30,$-100
2022-06-30,$-99
2022-03-31,$-92
2021-12-31,$-99
2021-09-30,$-86
2021-06-30,$-81
2021-03-31,$-75
2020-12-31,$-68
2020-09-30,$-59
2020-06-30,$-63
2020-03-31,$-70
2019-12-31,$-64
2019-09-30,$-49
2019-06-30,$-48
2019-03-31,$-37
2018-12-31,$-33
2018-09-30,$-34
2018-06-30,$-31
2018-03-31,$-27
2017-12-31,$-26
2017-09-30,$-22
2017-06-30,$-23
2017-03-31,$-21
2016-12-31,$-16
2016-09-30,$-68
2016-06-30,$-12
2016-03-31,$-7
2015-12-31,$-8
2015-09-30,$-8
2015-06-30,$-6
2015-03-31,$-5
2014-12-31,$-5
2014-09-30,$-3
2014-06-30,$-2
2014-03-31,$-2
2013-12-31,$-20
2013-09-30,$-9
2013-06-30,$-3
2013-03-31,$-1
2012-12-31,$3
2012-09-30,$-1
2012-06-30,$-0
2012-03-31,$-6
2011-12-31,$-8
2011-09-30,$-6
2011-06-30,$-11
2011-03-31,$-1
2010-12-31,$-1
2010-09-30,$-1
2010-06-30,$-0
2010-03-31,$-0
2009-12-31,$-0
2009-09-30,$-0
2009-06-30,$-0
2009-03-31,$-0
