White Mountains Insurance Group Quarterly Net Income (Millions of US $),White Mountains Insurance Group Quarterly Net Income (Millions of US $).1
2024-06-30,$-55
2024-03-31,$236
2023-12-31,$287
2023-09-30,$24
2023-06-30,$20
2023-03-31,$180
2022-12-31,$40
2022-09-30,$888
2022-06-30,$-169
2022-03-31,$33
2021-12-31,$33
2021-09-30,$-371
2021-06-30,$139
2021-03-31,$-75
2020-12-31,$489
2020-09-30,$233
2020-06-30,$115
2020-03-31,$-129
2019-12-31,$61
2019-09-30,$49
2019-06-30,$21
2019-03-31,$284
2018-12-31,$-138
2018-09-30,$41
2018-06-30,$4
2018-03-31,$-48
2017-12-31,$23
2017-09-30,$562
2017-06-30,$14
2017-03-31,$29
2016-12-31,$-33
2016-09-30,$91
2016-06-30,$341
2016-03-31,$13
2015-12-31,$268
2015-09-30,$-59
2015-06-30,$4
2015-03-31,$84
2014-12-31,$70
2014-09-30,$51
2014-06-30,$96
2014-03-31,$96
2013-12-31,$118
2013-09-30,$57
2013-06-30,$26
2013-03-31,$120
2012-12-31,$68
2012-09-30,$19
2012-06-30,$26
2012-03-31,$94
2011-12-31,$800
2011-09-30,$-16
2011-06-30,$12
2011-03-31,$-28
2010-12-31,$73
2010-09-30,$51
2010-06-30,$3
2010-03-31,$-40
2009-12-31,$100
2009-09-30,$160
2009-06-30,$180
2009-03-31,$30
