Teladoc Health Quarterly Net Income (Millions of US $),Teladoc Health Quarterly Net Income (Millions of US $).1
2024-06-30,$-838
2024-03-31,$-82
2023-12-31,$-29
2023-09-30,$-57
2023-06-30,$-65
2023-03-31,$-69
2022-12-31,"$-3,810"
2022-09-30,$-73
2022-06-30,"$-3,101"
2022-03-31,"$-6,675"
2021-12-31,$-11
2021-09-30,$-84
2021-06-30,$-134
2021-03-31,$-200
2020-12-31,$-394
2020-09-30,$-36
2020-06-30,$-26
2020-03-31,$-30
2019-12-31,$-19
2019-09-30,$-20
2019-06-30,$-29
2019-03-31,$-30
2018-12-31,$-25
2018-09-30,$-23
2018-06-30,$-25
2018-03-31,$-24
2017-12-31,$-44
2017-09-30,$-31
2017-06-30,$-15
2017-03-31,$-16
2016-12-31,$-14
2016-09-30,$-30
2016-06-30,$-15
2016-03-31,$-15
2015-12-31,$-15
2015-09-30,$-13
2015-06-30,$-17
2015-03-31,$-13
2014-12-31,$-7
2014-09-30,$-6
2014-06-30,$-4
2014-03-31,$-3
2013-12-31,
