DENTSPLY SIRONA Quarterly Net Income (Millions of US $),DENTSPLY SIRONA Quarterly Net Income (Millions of US $).1
2024-06-30,$-4
2024-03-31,$18
2023-12-31,$67
2023-09-30,$-266
2023-06-30,$86
2023-03-31,$-19
2022-12-31,$-15
2022-09-30,"$-1,077"
2022-06-30,$73
2022-03-31,$69
2021-12-31,$119
2021-09-30,$84
2021-06-30,$96
2021-03-31,$112
2020-12-31,$115
2020-09-30,$47
2020-06-30,$-95
2020-03-31,$-140
2019-12-31,$95
2019-09-30,$85
2019-06-30,$36
2019-03-31,$39
2018-12-31,$2
2018-09-30,$28
2018-06-30,"$-1,122"
2018-03-31,$81
2017-12-31,$-650
2017-09-30,$91
2017-06-30,"$-1,050"
2017-03-31,$60
2016-12-31,$107
2016-09-30,$93
2016-06-30,$105
2016-03-31,$125
2015-12-31,$59
2015-09-30,$85
2015-06-30,$44
2015-03-31,$64
2014-12-31,$85
2014-09-30,$75
2014-06-30,$90
2014-03-31,$73
2013-12-31,$74
2013-09-30,$80
2013-06-30,$87
2013-03-31,$72
2012-12-31,$127
2012-09-30,$53
2012-06-30,$81
2012-03-31,$53
2011-12-31,$41
2011-09-30,$61
2011-06-30,$74
2011-03-31,$69
2010-12-31,$68
2010-09-30,$64
2010-06-30,$72
2010-03-31,$62
2009-12-31,$75
2009-09-30,$67
2009-06-30,$70
2009-03-31,$62
