State Street Quarterly Net Income (Millions of US $),State Street Quarterly Net Income (Millions of US $).1
2024-06-30,$655
2024-03-31,$418
2023-12-31,$172
2023-09-30,$398
2023-06-30,$726
2023-03-31,$525
2022-12-31,$696
2022-09-30,$669
2022-06-30,$712
2022-03-31,$583
2021-12-31,$662
2021-09-30,$693
2021-06-30,$728
2021-03-31,$489
2020-12-31,$498
2020-09-30,$517
2020-06-30,$662
2020-03-31,$580
2019-12-31,$492
2019-09-30,$528
2019-06-30,$537
2019-03-31,$452
2018-12-31,$396
2018-09-30,$708
2018-06-30,$697
2018-03-31,$603
2017-12-31,$313
2017-09-30,$629
2017-06-30,$584
2017-03-31,$446
2016-12-31,$557
2016-09-30,$507
2016-06-30,$585
2016-03-31,$319
2015-12-31,$547
2015-09-30,$539
2015-06-30,$389
2015-03-31,$373
2014-12-31,$458
2014-09-30,$542
2014-06-30,$602
2014-03-31,$356
2013-12-31,$459
2013-09-30,$531
2013-06-30,$571
2013-03-31,$455
2012-12-31,$468
2012-09-30,$654
2012-06-30,$480
2012-03-31,$417
2011-12-31,$371
2011-09-30,$543
2011-06-30,$502
2011-03-31,$466
2010-12-31,$81
2010-09-30,$540
2010-06-30,$427
2010-03-31,$492
2009-12-31,$498
2009-09-30,$327
2009-06-30,"$-3,314"
2009-03-31,$445
