Baker Hughes Quarterly Net Income (Millions of US $),Baker Hughes Quarterly Net Income (Millions of US $).1
2024-06-30,$579
2024-03-31,$455
2023-12-31,$439
2023-09-30,$518
2023-06-30,$410
2023-03-31,$576
2022-12-31,$183
2022-09-30,$-17
2022-06-30,$-839
2022-03-31,$72
2021-12-31,$293
2021-09-30,$8
2021-06-30,$-68
2021-03-31,$-452
2020-12-31,$652
2020-09-30,$-170
2020-06-30,$-195
2020-03-31,"$-10,227"
2019-12-31,$48
2019-09-30,$57
2019-06-30,$-9
2019-03-31,$32
2018-12-31,$131
2018-09-30,$13
2018-06-30,$-19
2018-03-31,$70
2017-12-31,$31
2017-09-30,$-134
2017-06-30,
2017-03-31,
2016-12-31,
2016-09-30,
2016-06-30,$-911
2016-03-31,$-981
2015-12-31,
2015-09-30,$-159
2015-06-30,$-188
2015-03-31,$-589
2014-12-31,$663
2014-09-30,$375
2014-06-30,$353
2014-03-31,$328
2013-12-31,$248
2013-09-30,$341
2013-06-30,$240
2013-03-31,$267
2012-12-31,$214
2012-09-30,$279
2012-06-30,$439
2012-03-31,$379
2011-12-31,$314
2011-09-30,$706
2011-06-30,$338
2011-03-31,$381
2010-12-31,$335
2010-09-30,$255
2010-06-30,$93
2010-03-31,$129
2009-12-31,$84
2009-09-30,$55
2009-06-30,$87
2009-03-31,$195
