Alphabet Quarterly Net Income (Millions of US $),Alphabet Quarterly Net Income (Millions of US $).1
2024-03-31,"$23,662"
2023-12-31,"$20,687"
2023-09-30,"$19,689"
2023-06-30,"$18,368"
2023-03-31,"$15,051"
2022-12-31,"$13,624"
2022-09-30,"$13,910"
2022-06-30,"$16,002"
2022-03-31,"$16,436"
2021-12-31,"$20,642"
2021-09-30,"$18,936"
2021-06-30,"$18,525"
2021-03-31,"$17,930"
2020-12-31,"$15,227"
2020-09-30,"$11,247"
2020-06-30,"$6,959"
2020-03-31,"$6,836"
2019-12-31,"$10,671"
2019-09-30,"$7,068"
2019-06-30,"$9,947"
2019-03-31,"$6,657"
2018-12-31,"$8,948"
2018-09-30,"$9,192"
2018-06-30,"$3,195"
2018-03-31,"$9,401"
2017-12-31,"$-3,020"
2017-09-30,"$6,732"
2017-06-30,"$3,524"
2017-03-31,"$5,426"
2016-12-31,"$5,333"
2016-09-30,"$5,061"
2016-06-30,"$4,877"
2016-03-31,"$4,207"
2015-12-31,"$4,923"
2015-09-30,"$3,979"
2015-06-30,"$3,409"
2015-03-31,"$3,515"
2014-12-31,"$4,594"
2014-09-30,"$2,739"
2014-06-30,"$3,351"
2014-03-31,"$3,452"
2013-12-31,"$3,189"
2013-09-30,"$2,970"
2013-06-30,"$3,228"
2013-03-31,"$3,346"
2012-12-31,"$2,886"
2012-09-30,"$2,176"
2012-06-30,"$2,785"
2012-03-31,"$2,890"
2011-12-31,"$2,705"
2011-09-30,"$2,729"
2011-06-30,"$2,505"
2011-03-31,"$1,798"
2010-12-31,"$2,543"
2010-09-30,"$2,167"
2010-06-30,"$1,840"
2010-03-31,"$1,955"
2009-12-31,"$1,973"
2009-09-30,"$1,639"
2009-06-30,"$1,485"
2009-03-31,"$1,423"
