Viatris Quarterly Net Income (Millions of US $),Viatris Quarterly Net Income (Millions of US $).1
2024-03-31,$114
2023-12-31,$-766
2023-09-30,$332
2023-06-30,$264
2023-03-31,$225
2022-12-31,"$1,011"
2022-09-30,$354
2022-06-30,$314
2022-03-31,$399
2021-12-31,$-264
2021-09-30,$312
2021-06-30,$-279
2021-03-31,"$-1,038"
2020-12-31,$-916
2020-09-30,$186
2020-06-30,$39
2020-03-31,$21
2019-12-31,$21
2019-09-30,$190
2019-06-30,$-169
2019-03-31,$-25
2018-12-31,$51
2018-09-30,$177
2018-06-30,$38
2018-03-31,$87
2017-12-31,$244
2017-09-30,$88
2017-06-30,$297
2017-03-31,$66
2016-12-31,$418
2016-09-30,$-120
2016-06-30,$168
2016-03-31,$14
2015-12-31,$195
2015-09-30,$429
2015-06-30,$168
2015-03-31,$57
2014-12-31,$189
2014-09-30,$499
2014-06-30,$125
2014-03-31,$116
2013-12-31,$180
2013-09-30,$159
2013-06-30,$178
2013-03-31,$107
2012-12-31,$162
2012-09-30,$211
2012-06-30,$139
2012-03-31,$129
2011-12-31,$129
2011-09-30,$157
2011-06-30,$146
2011-03-31,$104
2010-12-31,$3
2010-09-30,$108
2010-06-30,$51
2010-03-31,$61
2009-12-31,$4
2009-09-30,$-40
2009-06-30,$58
2009-03-31,$71
