Biogen Quarterly Net Income (Millions of US $),Biogen Quarterly Net Income (Millions of US $).1
2024-03-31,$393
2023-12-31,$250
2023-09-30,$-68
2023-06-30,$592
2023-03-31,$388
2022-12-31,$550
2022-09-30,"$1,135"
2022-06-30,"$1,058"
2022-03-31,$304
2021-12-31,$368
2021-09-30,$329
2021-06-30,$449
2021-03-31,$410
2020-12-31,$358
2020-09-30,$702
2020-06-30,"$1,542"
2020-03-31,"$1,399"
2019-12-31,"$1,440"
2019-09-30,"$1,546"
2019-06-30,"$1,494"
2019-03-31,"$1,409"
2018-12-31,$947
2018-09-30,"$1,444"
2018-06-30,$867
2018-03-31,"$1,173"
2017-12-31,$-297
2017-09-30,"$1,226"
2017-06-30,$863
2017-03-31,$748
2016-12-31,$649
2016-09-30,"$1,033"
2016-06-30,"$1,050"
2016-03-31,$971
2015-12-31,$832
2015-09-30,$966
2015-06-30,$927
2015-03-31,$823
2014-12-31,$883
2014-09-30,$857
2014-06-30,$715
2014-03-31,$480
2013-12-31,$457
2013-09-30,$488
2013-06-30,$491
2013-03-31,$427
2012-12-31,$292
2012-09-30,$398
2012-06-30,$387
2012-03-31,$303
2011-12-31,$300
2011-09-30,$352
2011-06-30,$288
2011-03-31,$294
2010-12-31,$240
2010-09-30,$254
2010-06-30,$293
2010-03-31,$217
2009-12-31,$306
2009-09-30,$278
2009-06-30,$143
2009-03-31,$244
