Exxon Quarterly Net Income (Millions of US $),Exxon Quarterly Net Income (Millions of US $).1
2024-03-31,"$8,220"
2023-12-31,"$7,630"
2023-09-30,"$9,070"
2023-06-30,"$7,880"
2023-03-31,"$11,430"
2022-12-31,"$12,750"
2022-09-30,"$19,660"
2022-06-30,"$17,850"
2022-03-31,"$5,480"
2021-12-31,"$8,870"
2021-09-30,"$6,750"
2021-06-30,"$4,690"
2021-03-31,"$2,730"
2020-12-31,"$-20,070"
2020-09-30,$-680
2020-06-30,"$-1,080"
2020-03-31,$-610
2019-12-31,"$5,690"
2019-09-30,"$3,170"
2019-06-30,"$3,130"
2019-03-31,"$2,350"
2018-12-31,"$6,000"
2018-09-30,"$6,240"
2018-06-30,"$3,950"
2018-03-31,"$4,650"
2017-12-31,"$8,380"
2017-09-30,"$3,970"
2017-06-30,"$3,350"
2017-03-31,"$4,010"
2016-12-31,"$1,680"
2016-09-30,"$2,650"
2016-06-30,"$1,700"
2016-03-31,"$1,810"
2015-12-31,"$2,780"
2015-09-30,"$4,240"
2015-06-30,"$4,190"
2015-03-31,"$4,940"
2014-12-31,"$6,570"
2014-09-30,"$8,070"
2014-06-30,"$8,780"
2014-03-31,"$9,100"
2013-12-31,"$8,350"
2013-09-30,"$7,870"
2013-06-30,"$6,860"
2013-03-31,"$9,500"
2012-12-31,"$9,950"
2012-09-30,"$9,570"
2012-06-30,"$15,910"
2012-03-31,"$9,450"
2011-12-31,"$9,400"
2011-09-30,"$10,330"
2011-06-30,"$10,680"
2011-03-31,"$10,650"
2010-12-31,"$9,250"
2010-09-30,"$7,350"
2010-06-30,"$7,560"
2010-03-31,"$6,300"
2009-12-31,"$6,050"
2009-09-30,"$4,730"
2009-06-30,"$3,950"
2009-03-31,"$4,550"
