West Pharmaceutical Services Quarterly Net Income (Millions of US $),West Pharmaceutical Services Quarterly Net Income (Millions of US $).1
2024-03-31,$115
2023-12-31,$137
2023-09-30,$161
2023-06-30,$155
2023-03-31,$140
2022-12-31,$103
2022-09-30,$121
2022-06-30,$189
2022-03-31,$174
2021-12-31,$148
2021-09-30,$176
2021-06-30,$187
2021-03-31,$151
2020-12-31,$98
2020-09-30,$82
2020-06-30,$91
2020-03-31,$74
2019-12-31,$64
2019-09-30,$56
2019-06-30,$66
2019-03-31,$55
2018-12-31,$52
2018-09-30,$55
2018-06-30,$56
2018-03-31,$44
2017-12-31,$0
2017-09-30,$51
2017-06-30,$39
2017-03-31,$61
2016-12-31,$39
2016-09-30,$38
2016-06-30,$45
2016-03-31,$22
2015-12-31,$33
2015-09-30,$2
2015-06-30,$28
2015-03-31,$33
2014-12-31,$31
2014-09-30,$31
2014-06-30,$38
2014-03-31,$27
2013-12-31,$24
2013-09-30,$27
2013-06-30,$30
2013-03-31,$32
2012-12-31,$21
2012-09-30,$15
2012-06-30,$16
2012-03-31,$29
2011-12-31,$19
2011-09-30,$17
2011-06-30,$20
2011-03-31,$20
2010-12-31,$6
2010-09-30,$18
2010-06-30,$22
2010-03-31,$20
2009-12-31,$20
2009-09-30,$17
2009-06-30,$20
2009-03-31,$15
