Johnson & Johnson Quarterly Net Income (Millions of US $),Johnson & Johnson Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,255"
2023-12-31,"$4,049"
2023-09-30,"$26,028"
2023-06-30,"$5,144"
2023-03-31,$-68
2022-12-31,"$3,520"
2022-09-30,"$4,458"
2022-06-30,"$4,814"
2022-03-31,"$5,149"
2021-12-31,"$4,736"
2021-09-30,"$3,667"
2021-06-30,"$6,278"
2021-03-31,"$6,197"
2020-12-31,"$1,738"
2020-09-30,"$3,554"
2020-06-30,"$3,626"
2020-03-31,"$5,796"
2019-12-31,"$4,010"
2019-09-30,"$1,753"
2019-06-30,"$5,607"
2019-03-31,"$3,749"
2018-12-31,"$3,042"
2018-09-30,"$3,934"
2018-06-30,"$3,954"
2018-03-31,"$4,367"
2017-12-31,"$-10,713"
2017-09-30,"$3,764"
2017-06-30,"$3,827"
2017-03-31,"$4,422"
2016-12-31,"$3,814"
2016-09-30,"$4,272"
2016-06-30,"$3,997"
2016-03-31,"$4,457"
2015-12-31,"$3,215"
2015-09-30,"$3,358"
2015-06-30,"$4,516"
2015-03-31,"$4,320"
2014-12-31,"$2,521"
2014-09-30,"$4,749"
2014-06-30,"$4,326"
2014-03-31,"$4,727"
2013-12-31,"$3,519"
2013-09-30,"$2,982"
2013-06-30,"$3,833"
2013-03-31,"$3,497"
2012-12-31,"$2,567"
2012-09-30,"$2,968"
2012-06-30,"$1,408"
2012-03-31,"$3,910"
2011-12-31,$218
2011-09-30,"$3,202"
2011-06-30,"$2,776"
2011-03-31,"$3,476"
2010-12-31,"$1,942"
2010-09-30,"$3,417"
2010-06-30,"$3,449"
2010-03-31,"$4,526"
2009-12-31,"$2,206"
2009-09-30,"$3,345"
2009-06-30,"$3,208"
2009-03-31,"$3,507"
