Bristol Myers Squibb Quarterly Net Income (Millions of US $),Bristol Myers Squibb Quarterly Net Income (Millions of US $).1
2024-03-31,"$-11,911"
2023-12-31,"$1,762"
2023-09-30,"$1,928"
2023-06-30,"$2,073"
2023-03-31,"$2,262"
2022-12-31,"$2,022"
2022-09-30,"$1,606"
2022-06-30,"$1,421"
2022-03-31,"$1,278"
2021-12-31,"$2,372"
2021-09-30,"$1,546"
2021-06-30,"$1,055"
2021-03-31,"$2,021"
2020-12-31,"$-10,027"
2020-09-30,"$1,872"
2020-06-30,$-85
2020-03-31,$-775
2019-12-31,"$-1,056"
2019-09-30,"$1,353"
2019-06-30,"$1,432"
2019-03-31,"$1,710"
2018-12-31,"$1,160"
2018-09-30,"$1,901"
2018-06-30,$373
2018-03-31,"$1,486"
2017-12-31,"$-2,328"
2017-09-30,$845
2017-06-30,$916
2017-03-31,"$1,574"
2016-12-31,$894
2016-09-30,"$1,202"
2016-06-30,"$1,166"
2016-03-31,"$1,195"
2015-12-31,$-197
2015-09-30,$706
2015-06-30,$-130
2015-03-31,"$1,186"
2014-12-31,$13
2014-09-30,$721
2014-06-30,$333
2014-03-31,$937
2013-12-31,$726
2013-09-30,$692
2013-06-30,$536
2013-03-31,$609
2012-12-31,$924
2012-09-30,$-711
2012-06-30,$645
2012-03-31,"$1,101"
2011-12-31,$850
2011-09-30,$967
2011-06-30,$900
2011-03-31,$984
2010-12-31,$471
2010-09-30,$949
2010-06-30,$927
2010-03-31,$743
2009-12-31,"$8,007"
2009-09-30,$966
2009-06-30,$983
2009-03-31,$638
