Bunge Global SA Quarterly Net Income (Millions of US $),Bunge Global SA Quarterly Net Income (Millions of US $).1
2024-03-31,$244
2023-12-31,$616
2023-09-30,$373
2023-06-30,$622
2023-03-31,$632
2022-12-31,$336
2022-09-30,$380
2022-06-30,$206
2022-03-31,$688
2021-12-31,$223
2021-09-30,$645
2021-06-30,$353
2021-03-31,$823
2020-12-31,$550
2020-09-30,$266
2020-06-30,$512
2020-03-31,$-207
2019-12-31,$-68
2019-09-30,"$-1,496"
2019-06-30,$205
2019-03-31,$37
2018-12-31,$-74
2018-09-30,$357
2018-06-30,$-21
2018-03-31,$-29
2017-12-31,$-69
2017-09-30,$84
2017-06-30,$72
2017-03-31,$39
2016-12-31,$262
2016-09-30,$116
2016-06-30,$109
2016-03-31,$222
2015-12-31,$188
2015-09-30,$229
2015-06-30,$72
2015-03-31,$249
2014-12-31,$-62
2014-09-30,$284
2014-06-30,$272
2014-03-31,$-27
2013-12-31,$115
2013-09-30,$-165
2013-06-30,$110
2013-03-31,$170
2012-12-31,$-610
2012-09-30,$289
2012-06-30,$265
2012-03-31,$84
2011-12-31,$245
2011-09-30,$132
2011-06-30,$307
2011-03-31,$224
2010-12-31,$292
2010-09-30,$193
2010-06-30,"$1,758"
2010-03-31,$44
2009-12-31,$-28
2009-09-30,$232
2009-06-30,$293
2009-03-31,$-214
