Medtronic Quarterly Net Income (Millions of US $),Medtronic Quarterly Net Income (Millions of US $).1
2024-04-30,$654
2024-01-31,"$1,322"
2023-10-31,$909
2023-07-31,$791
2023-04-30,"$1,180"
2023-01-31,"$1,222"
2022-10-31,$427
2022-07-31,$929
2022-04-30,"$1,485"
2022-01-31,"$1,480"
2021-10-31,"$1,311"
2021-07-31,$763
2021-04-30,"$1,360"
2021-01-31,"$1,270"
2020-10-31,$489
2020-07-31,$487
2020-04-30,$646
2020-01-31,"$1,915"
2019-10-31,"$1,364"
2019-07-31,$864
2019-04-30,"$1,172"
2019-01-31,"$1,269"
2018-10-31,"$1,115"
2018-07-31,"$1,075"
2018-04-30,"$1,460"
2018-01-31,"$-1,389"
2017-10-31,"$2,017"
2017-07-31,"$1,016"
2017-04-30,"$1,163"
2017-01-31,$821
2016-10-31,"$1,115"
2016-07-31,$929
2016-04-30,"$1,103"
2016-01-31,"$1,095"
2015-10-31,$520
2015-07-31,$820
2015-04-30,$-1
2015-01-31,$977
2014-10-31,$828
2014-07-31,$871
2014-04-30,$448
2014-01-31,$762
2013-10-31,$902
2013-07-31,$953
2013-04-30,$969
2013-01-31,$988
2012-10-31,$646
2012-07-31,$864
2012-04-30,$990
2012-01-31,$935
2011-10-31,$871
2011-07-31,$821
2011-04-30,$776
2011-01-31,$924
2010-10-31,$566
2010-07-31,$830
2010-04-30,$955
2010-01-31,$831
2009-10-31,$868
2009-07-31,$445
2009-04-30,$102
2009-01-31,$698
