Cardinal Health Quarterly Net Income (Millions of US $),Cardinal Health Quarterly Net Income (Millions of US $).1
2024-03-31,$258
2023-12-31,$353
2023-09-30,$5
2023-06-30,$-64
2023-03-31,$345
2022-12-31,$-130
2022-09-30,$110
2022-06-30,$138
2022-03-31,"$-1,391"
2021-12-31,$49
2021-09-30,$271
2021-06-30,$116
2021-03-31,$119
2020-12-31,$629
2020-09-30,$-253
2020-06-30,$656
2020-03-31,$350
2019-12-31,$220
2019-09-30,"$-4,922"
2019-06-30,$194
2019-03-31,$296
2018-12-31,$280
2018-09-30,$593
2018-06-30,"$-1,167"
2018-03-31,$255
2017-12-31,"$1,053"
2017-09-30,$115
2017-06-30,$274
2017-03-31,$381
2016-12-31,$324
2016-09-30,$309
2016-06-30,$332
2016-03-31,$386
2015-12-31,$326
2015-09-30,$383
2015-06-30,$295
2015-03-31,$365
2014-12-31,$289
2014-09-30,$266
2014-06-30,$234
2014-03-31,$315
2013-12-31,$278
2013-09-30,$339
2013-06-30,$-585
2013-03-31,$345
2012-12-31,$303
2012-09-30,$271
2012-06-30,$237
2012-03-31,$333
2011-12-31,$262
2011-09-30,$237
2011-06-30,$203
2011-03-31,$246
2010-12-31,$215
2010-09-30,$295
2010-06-30,$223
2010-03-31,$222
2009-12-31,$235
2009-09-30,$-38
2009-06-30,$273
2009-03-31,$313
