Assurant Quarterly Net Income (Millions of US $),Assurant Quarterly Net Income (Millions of US $).1
2024-03-31,$236
2023-12-31,$183
2023-09-30,$190
2023-06-30,$156
2023-03-31,$114
2022-12-31,$68
2022-09-30,$7
2022-06-30,$52
2022-03-31,$149
2021-12-31,$113
2021-09-30,$880
2021-06-30,$206
2021-03-31,$158
2020-12-31,$134
2020-09-30,$-35
2020-06-30,$174
2020-03-31,$150
2019-12-31,$123
2019-09-30,$-60
2019-06-30,$140
2019-03-31,$161
2018-12-31,$20
2018-09-30,$48
2018-06-30,$62
2018-03-31,$106
2017-12-31,$313
2017-09-30,$-57
2017-06-30,$120
2017-03-31,$144
2016-12-31,$31
2016-09-30,$144
2016-06-30,$169
2016-03-31,$220
2015-12-31,$66
2015-09-30,$-7
2015-06-30,$33
2015-03-31,$50
2014-12-31,$50
2014-09-30,$140
2014-06-30,$144
2014-03-31,$137
2013-12-31,$109
2013-09-30,$129
2013-06-30,$134
2013-03-31,$118
2012-12-31,$25
2012-09-30,$126
2012-06-30,$169
2012-03-31,$163
2011-12-31,$159
2011-09-30,$74
2011-06-30,$165
2011-03-31,$141
2010-12-31,$-185
2010-09-30,$142
2010-06-30,$165
2010-03-31,$157
2009-12-31,$12
2009-09-30,$145
2009-06-30,$193
2009-03-31,$81
