Universal Health Services Quarterly Net Income (Millions of US $),Universal Health Services Quarterly Net Income (Millions of US $).1
2024-03-31,$262
2023-12-31,$217
2023-09-30,$167
2023-06-30,$171
2023-03-31,$163
2022-12-31,$175
2022-09-30,$183
2022-06-30,$164
2022-03-31,$154
2021-12-31,$241
2021-09-30,$218
2021-06-30,$324
2021-03-31,$209
2020-12-31,$308
2020-09-30,$240
2020-06-30,$251
2020-03-31,$142
2019-12-31,$245
2019-09-30,$97
2019-06-30,$238
2019-03-31,$234
2018-12-31,$158
2018-09-30,$171
2018-06-30,$226
2018-03-31,$224
2017-12-31,$219
2017-09-30,$141
2017-06-30,$185
2017-03-31,$206
2016-12-31,$174
2016-09-30,$152
2016-06-30,$185
2016-03-31,$191
2015-12-31,$173
2015-09-30,$150
2015-06-30,$182
2015-03-31,$174
2014-12-31,$173
2014-09-30,$83
2014-06-30,$152
2014-03-31,$138
2013-12-31,$125
2013-09-30,$115
2013-06-30,$152
2013-03-31,$120
2012-12-31,$135
2012-09-30,$72
2012-06-30,$108
2012-03-31,$129
2011-12-31,$96
2011-09-30,$85
2011-06-30,$104
2011-03-31,$114
2010-12-31,$37
2010-09-30,$56
2010-06-30,$66
2010-03-31,$72
2009-12-31,$60
2009-09-30,$51
2009-06-30,$81
2009-03-31,$68
