Pfizer Quarterly Net Income (Millions of US $),Pfizer Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,115"
2023-12-31,"$-3,369"
2023-09-30,"$-2,382"
2023-06-30,"$2,327"
2023-03-31,"$5,543"
2022-12-31,"$4,994"
2022-09-30,"$8,608"
2022-06-30,"$9,906"
2022-03-31,"$7,864"
2021-12-31,"$3,393"
2021-09-30,"$8,146"
2021-06-30,"$5,563"
2021-03-31,"$4,877"
2020-12-31,$846
2020-09-30,"$1,469"
2020-06-30,"$3,489"
2020-03-31,"$3,355"
2019-12-31,$-584
2019-09-30,"$7,680"
2019-06-30,"$5,046"
2019-03-31,"$3,884"
2018-12-31,$-394
2018-09-30,"$4,114"
2018-06-30,"$3,872"
2018-03-31,"$3,561"
2017-12-31,"$12,274"
2017-09-30,"$2,840"
2017-06-30,"$3,073"
2017-03-31,"$3,121"
2016-12-31,$775
2016-09-30,"$1,355"
2016-06-30,"$2,047"
2016-03-31,"$3,038"
2015-12-31,$-172
2015-09-30,"$2,130"
2015-06-30,"$2,626"
2015-03-31,"$2,376"
2014-12-31,"$1,228"
2014-09-30,"$2,666"
2014-06-30,"$2,912"
2014-03-31,"$2,329"
2013-12-31,"$2,568"
2013-09-30,"$2,590"
2013-06-30,"$14,095"
2013-03-31,"$2,750"
2012-12-31,"$6,315"
2012-09-30,"$3,208"
2012-06-30,"$3,253"
2012-03-31,"$1,794"
2011-12-31,"$1,439"
2011-09-30,"$3,738"
2011-06-30,"$2,610"
2011-03-31,"$2,222"
2010-12-31,"$2,890"
2010-09-30,$866
2010-06-30,"$2,475"
2010-03-31,"$2,026"
2009-12-31,$767
2009-09-30,"$2,878"
2009-06-30,"$2,261"
2009-03-31,"$2,729"
