CF Industries Holdings Quarterly Net Income (Millions of US $),CF Industries Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$194
2023-12-31,$274
2023-09-30,$164
2023-06-30,$527
2023-03-31,$560
2022-12-31,$860
2022-09-30,$438
2022-06-30,"$1,165"
2022-03-31,$883
2021-12-31,$705
2021-09-30,$-185
2021-06-30,$246
2021-03-31,$151
2020-12-31,$87
2020-09-30,$-28
2020-06-30,$190
2020-03-31,$68
2019-12-31,$55
2019-09-30,$65
2019-06-30,$283
2019-03-31,$90
2018-12-31,$49
2018-09-30,$30
2018-06-30,$148
2018-03-31,$63
2017-12-31,$465
2017-09-30,$-87
2017-06-30,$3
2017-03-31,$-23
2016-12-31,$-320
2016-09-30,$-30
2016-06-30,$47
2016-03-31,$26
2015-12-31,$27
2015-09-30,$90
2015-06-30,$352
2015-03-31,$231
2014-12-31,$238
2014-09-30,$131
2014-06-30,$313
2014-03-31,$709
2013-12-31,$326
2013-09-30,$234
2013-06-30,$498
2013-03-31,$407
2012-12-31,$471
2012-09-30,$403
2012-06-30,$606
2012-03-31,$368
2011-12-31,$439
2011-09-30,$331
2011-06-30,$487
2011-03-31,$282
2010-12-31,$200
2010-09-30,$48
2010-06-30,$105
2010-03-31,$-4
2009-12-31,$51
2009-09-30,$39
2009-06-30,$213
2009-03-31,$63
