Molina Healthcare Quarterly Net Income (Millions of US $),Molina Healthcare Quarterly Net Income (Millions of US $).1
2024-03-31,$301
2023-12-31,$216
2023-09-30,$245
2023-06-30,$309
2023-03-31,$321
2022-12-31,$56
2022-09-30,$230
2022-06-30,$248
2022-03-31,$258
2021-12-31,$103
2021-09-30,$143
2021-06-30,$185
2021-03-31,$228
2020-12-31,$34
2020-09-30,$185
2020-06-30,$276
2020-03-31,$178
2019-12-31,$168
2019-09-30,$175
2019-06-30,$196
2019-03-31,$198
2018-12-31,$201
2018-09-30,$197
2018-06-30,$202
2018-03-31,$107
2017-12-31,$-262
2017-09-30,$-97
2017-06-30,$-230
2017-03-31,$77
2016-12-31,$-47
2016-09-30,$42
2016-06-30,$33
2016-03-31,$24
2015-12-31,$30
2015-09-30,$46
2015-06-30,$39
2015-03-31,$28
2014-12-31,$34
2014-09-30,$16
2014-06-30,$8
2014-03-31,$4
2013-12-31,$-9
2013-09-30,$8
2013-06-30,$25
2013-03-31,$30
2012-12-31,$26
2012-09-30,$3
2012-06-30,$-37
2012-03-31,$18
2011-12-31,$-33
2011-09-30,$19
2011-06-30,$17
2011-03-31,$17
2010-12-31,$18
2010-09-30,$16
2010-06-30,$11
2010-03-31,$11
2009-12-31,$-4
2009-09-30,$9
2009-06-30,$15
2009-03-31,$12
