ResMed Quarterly Net Income (Millions of US $),ResMed Quarterly Net Income (Millions of US $).1
2024-03-31,$300
2023-12-31,$209
2023-09-30,$219
2023-06-30,$230
2023-03-31,$233
2022-12-31,$225
2022-09-30,$210
2022-06-30,$195
2022-03-31,$179
2021-12-31,$202
2021-09-30,$204
2021-06-30,$195
2021-03-31,$-78
2020-12-31,$180
2020-09-30,$178
2020-06-30,$178
2020-03-31,$163
2019-12-31,$161
2019-09-30,$120
2019-06-30,$69
2019-03-31,$105
2018-12-31,$125
2018-09-30,$106
2018-06-30,$110
2018-03-31,$110
2017-12-31,$10
2017-09-30,$86
2017-06-30,$102
2017-03-31,$88
2016-12-31,$77
2016-09-30,$76
2016-06-30,$83
2016-03-31,$91
2015-12-31,$96
2015-09-30,$83
2015-06-30,$87
2015-03-31,$91
2014-12-31,$91
2014-09-30,$83
2014-06-30,$88
2014-03-31,$90
2013-12-31,$87
2013-09-30,$81
2013-06-30,$73
2013-03-31,$85
2012-12-31,$78
2012-09-30,$71
2012-06-30,$77
2012-03-31,$65
2011-12-31,$63
2011-09-30,$51
2011-06-30,$58
2011-03-31,$53
2010-12-31,$58
2010-09-30,$57
2010-06-30,$53
2010-03-31,$49
2009-12-31,$46
2009-09-30,$42
2009-06-30,$45
2009-03-31,$39
