Edwards Lifesciences Quarterly Net Income (Millions of US $),Edwards Lifesciences Quarterly Net Income (Millions of US $).1
2024-03-31,$352
2023-12-31,$370
2023-09-30,$385
2023-06-30,$307
2023-03-31,$341
2022-12-31,$398
2022-09-30,$344
2022-06-30,$406
2022-03-31,$374
2021-12-31,$335
2021-09-30,$340
2021-06-30,$490
2021-03-31,$338
2020-12-31,$310
2020-09-30,$325
2020-06-30,$-122
2020-03-31,$311
2019-12-31,$280
2019-09-30,$275
2019-06-30,$242
2019-03-31,$250
2018-12-31,$7
2018-09-30,$226
2018-06-30,$283
2018-03-31,$207
2017-12-31,$-3
2017-09-30,$170
2017-06-30,$186
2017-03-31,$230
2016-12-31,$159
2016-09-30,$141
2016-06-30,$127
2016-03-31,$143
2015-12-31,$141
2015-09-30,$118
2015-06-30,$113
2015-03-31,$123
2014-12-31,$109
2014-09-30,$95
2014-06-30,$547
2014-03-31,$60
2013-12-31,$75
2013-09-30,$77
2013-06-30,$93
2013-03-31,$144
2012-12-31,$89
2012-09-30,$69
2012-06-30,$68
2012-03-31,$65
2011-12-31,$63
2011-09-30,$52
2011-06-30,$58
2011-03-31,$64
2010-12-31,$65
2010-09-30,$48
2010-06-30,$58
2010-03-31,$48
2009-12-31,$48
2009-09-30,$74
2009-06-30,$48
2009-03-31,$61
