Regeneron Pharmaceuticals Quarterly Net Income (Millions of US $),Regeneron Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-03-31,$722
2023-12-31,"$1,160"
2023-09-30,"$1,008"
2023-06-30,$968
2023-03-31,$818
2022-12-31,"$1,197"
2022-09-30,"$1,316"
2022-06-30,$852
2022-03-31,$974
2021-12-31,"$2,229"
2021-09-30,"$1,632"
2021-06-30,"$3,099"
2021-03-31,"$1,115"
2020-12-31,"$1,149"
2020-09-30,$842
2020-06-30,$897
2020-03-31,$625
2019-12-31,$792
2019-09-30,$670
2019-06-30,$193
2019-03-31,$461
2018-12-31,$820
2018-09-30,$595
2018-06-30,$551
2018-03-31,$478
2017-12-31,$174
2017-09-30,$388
2017-06-30,$388
2017-03-31,$249
2016-12-31,$253
2016-09-30,$265
2016-06-30,$196
2016-03-31,$181
2015-12-31,$155
2015-09-30,$210
2015-06-30,$195
2015-03-31,$76
2014-12-31,$90
2014-09-30,$83
2014-06-30,$96
2014-03-31,$68
2013-12-31,$86
2013-09-30,$141
2013-06-30,$87
2013-03-31,$99
2012-12-31,$470
2012-09-30,$191
2012-06-30,$77
2012-03-31,$12
2011-12-31,$-53
2011-09-30,$-62
2011-06-30,$-63
2011-03-31,$-43
2010-12-31,$-15
2010-09-30,$-34
2010-06-30,$-25
2010-03-31,$-31
2009-12-31,$-36
2009-09-30,$-1
2009-06-30,$-15
2009-03-31,$-15
