Dollar General Quarterly Net Income (Millions of US $),Dollar General Quarterly Net Income (Millions of US $).1
2024-04-30,$363
2024-01-31,$402
2023-10-31,$276
2023-07-31,$469
2023-04-30,$514
2023-01-31,$659
2022-10-31,$526
2022-07-31,$678
2022-04-30,$553
2022-01-31,$597
2021-10-31,$487
2021-07-31,$637
2021-04-30,$678
2021-01-31,$643
2020-10-31,$574
2020-07-31,$788
2020-04-30,$650
2020-01-31,$535
2019-10-31,$366
2019-07-31,$427
2019-04-30,$385
2019-01-31,$483
2018-10-31,$334
2018-07-31,$407
2018-04-30,$365
2018-01-31,$712
2017-10-31,$253
2017-07-31,$295
2017-04-30,$279
2017-01-31,$414
2016-10-31,$235
2016-07-31,$307
2016-04-30,$295
2016-01-31,$376
2015-10-31,$253
2015-07-31,$282
2015-04-30,$253
2015-01-31,$355
2014-10-31,$236
2014-07-31,$251
2014-04-30,$222
2014-01-31,$322
2013-10-31,$237
2013-07-31,$245
2013-04-30,$220
2013-01-31,$317
2012-10-31,$208
2012-07-31,$214
2012-04-30,$213
2012-01-31,$293
2011-10-31,$171
2011-07-31,$146
2011-04-30,$157
2011-01-31,$223
2010-10-31,$128
2010-07-31,$141
2010-04-30,$136
2010-01-31,$87
2009-10-31,$76
2009-07-31,$94
2009-04-30,$83
2009-01-31,$82
