AbbVie Quarterly Net Income (Millions of US $),AbbVie Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,369"
2023-12-31,$822
2023-09-30,"$1,778"
2023-06-30,"$2,024"
2023-03-31,$239
2022-12-31,"$2,473"
2022-09-30,"$3,949"
2022-06-30,$924
2022-03-31,"$4,490"
2021-12-31,"$4,044"
2021-09-30,"$3,179"
2021-06-30,$766
2021-03-31,"$3,553"
2020-12-31,$36
2020-09-30,"$2,308"
2020-06-30,$-738
2020-03-31,"$3,010"
2019-12-31,"$2,801"
2019-09-30,"$1,884"
2019-06-30,$741
2019-03-31,"$2,456"
2018-12-31,"$-1,826"
2018-09-30,"$2,747"
2018-06-30,"$1,983"
2018-03-31,"$2,783"
2017-12-31,$52
2017-09-30,"$1,631"
2017-06-30,"$1,915"
2017-03-31,"$1,711"
2016-12-31,"$1,391"
2016-09-30,"$1,598"
2016-06-30,"$1,610"
2016-03-31,"$1,354"
2015-12-31,"$1,517"
2015-09-30,"$1,239"
2015-06-30,"$1,366"
2015-03-31,"$1,022"
2014-12-31,$-810
2014-09-30,$506
2014-06-30,"$1,098"
2014-03-31,$980
2013-12-31,"$1,128"
2013-09-30,$964
2013-06-30,"$1,068"
2013-03-31,$968
2012-12-31,"$1,540"
2012-09-30,"$1,585"
2012-06-30,"$1,267"
2012-03-31,$883
2011-12-31,"$1,157"
2011-09-30,$13
2011-06-30,"$1,540"
2011-03-31,$723
2010-12-31,
2009-12-31,
