Merck Quarterly Net Income (Millions of US $),Merck Quarterly Net Income (Millions of US $).1
2024-03-31,"$4,762"
2023-12-31,"$-1,226"
2023-09-30,"$4,745"
2023-06-30,"$-5,975"
2023-03-31,"$2,821"
2022-12-31,"$3,017"
2022-09-30,"$3,248"
2022-06-30,"$3,944"
2022-03-31,"$4,310"
2021-12-31,"$3,758"
2021-09-30,"$4,567"
2021-06-30,"$1,545"
2021-03-31,"$3,179"
2020-12-31,"$-2,095"
2020-09-30,"$2,941"
2020-06-30,"$3,002"
2020-03-31,"$3,219"
2019-12-31,"$2,357"
2019-09-30,"$1,901"
2019-06-30,"$2,670"
2019-03-31,"$2,915"
2018-12-31,"$1,827"
2018-09-30,"$1,950"
2018-06-30,"$1,707"
2018-03-31,$736
2017-12-31,"$-1,047"
2017-09-30,$-56
2017-06-30,"$1,946"
2017-03-31,"$1,551"
2016-12-31,$-594
2016-09-30,"$2,184"
2016-06-30,"$1,205"
2016-03-31,"$1,125"
2015-12-31,$976
2015-09-30,"$1,826"
2015-06-30,$687
2015-03-31,$953
2014-12-31,"$7,316"
2014-09-30,$895
2014-06-30,"$2,004"
2014-03-31,"$1,705"
2013-12-31,$781
2013-09-30,"$1,124"
2013-06-30,$906
2013-03-31,"$1,593"
2012-12-31,$908
2012-09-30,"$1,729"
2012-06-30,"$1,792"
2012-03-31,"$1,736"
2011-12-31,"$1,505"
2011-09-30,"$1,689"
2011-06-30,"$2,020"
2011-03-31,"$1,043"
2010-12-31,$-534
2010-09-30,$342
2010-06-30,$752
2010-03-31,$299
2009-12-31,"$6,447"
2009-09-30,"$3,424"
2009-06-30,"$1,556"
2009-03-31,"$1,425"
