Illinois Tool Works Quarterly Net Income (Millions of US $),Illinois Tool Works Quarterly Net Income (Millions of US $).1
2024-03-31,$819
2023-12-31,$717
2023-09-30,$772
2023-06-30,$754
2023-03-31,$714
2022-12-31,$907
2022-09-30,$727
2022-06-30,$738
2022-03-31,$662
2021-12-31,$609
2021-09-30,$639
2021-06-30,$775
2021-03-31,$671
2020-12-31,$642
2020-09-30,$582
2020-06-30,$319
2020-03-31,$566
2019-12-31,$641
2019-09-30,$660
2019-06-30,$623
2019-03-31,$597
2018-12-31,$607
2018-09-30,$638
2018-06-30,$666
2018-03-31,$652
2017-12-31,$-76
2017-09-30,$640
2017-06-30,$587
2017-03-31,$536
2016-12-31,$507
2016-09-30,$535
2016-06-30,$525
2016-03-31,$468
2015-12-31,$450
2015-09-30,$511
2015-06-30,$480
2015-03-31,$458
2014-12-31,$450
2014-09-30,$531
2014-06-30,"$1,492"
2014-03-31,$473
2013-12-31,$408
2013-09-30,$452
2013-06-30,$465
2013-03-31,$354
2012-12-31,$979
2012-09-30,$524
2012-06-30,$881
2012-03-31,$486
2011-12-31,$442
2011-09-30,$507
2011-06-30,$499
2011-03-31,$623
2010-12-31,$336
2010-09-30,$422
2010-06-30,$411
2010-03-31,$334
2009-12-31,$533
2009-09-30,$302
2009-06-30,$177
2009-03-31,$-39
