Gilead Sciences Quarterly Net Income (Millions of US $),Gilead Sciences Quarterly Net Income (Millions of US $).1
2024-03-31,"$-4,170"
2023-12-31,"$1,430"
2023-09-30,"$2,180"
2023-06-30,"$1,045"
2023-03-31,"$1,010"
2022-12-31,"$1,640"
2022-09-30,"$1,789"
2022-06-30,"$1,144"
2022-03-31,$19
2021-12-31,$382
2021-09-30,"$2,592"
2021-06-30,"$1,522"
2021-03-31,"$1,729"
2020-12-31,"$1,551"
2020-09-30,$360
2020-06-30,"$-3,339"
2020-03-31,"$1,551"
2019-12-31,"$2,696"
2019-09-30,"$-1,165"
2019-06-30,"$1,880"
2019-03-31,"$1,975"
2018-12-31,$3
2018-09-30,"$2,097"
2018-06-30,"$1,817"
2018-03-31,"$1,538"
2017-12-31,"$-3,865"
2017-09-30,"$2,718"
2017-06-30,"$3,073"
2017-03-31,"$2,702"
2016-12-31,"$3,108"
2016-09-30,"$3,330"
2016-06-30,"$3,497"
2016-03-31,"$3,566"
2015-12-31,"$4,683"
2015-09-30,"$4,600"
2015-06-30,"$4,492"
2015-03-31,"$4,333"
2014-12-31,"$3,487"
2014-09-30,"$2,731"
2014-06-30,"$3,656"
2014-03-31,"$2,227"
2013-12-31,$792
2013-09-30,$789
2013-06-30,$773
2013-03-31,$722
2012-12-31,$763
2012-09-30,$676
2012-06-30,$712
2012-03-31,$442
2011-12-31,$665
2011-09-30,$741
2011-06-30,$746
2011-03-31,$651
2010-12-31,$629
2010-09-30,$705
2010-06-30,$712
2010-03-31,$855
2009-12-31,$802
2009-09-30,$673
2009-06-30,$571
2009-03-31,$589
