Applied Materials Quarterly Net Income (Millions of US $),Applied Materials Quarterly Net Income (Millions of US $).1
2024-04-30,"$1,722"
2024-01-31,"$2,019"
2023-10-31,"$2,004"
2023-07-31,"$1,560"
2023-04-30,"$1,575"
2023-01-31,"$1,717"
2022-10-31,"$1,591"
2022-07-31,"$1,606"
2022-04-30,"$1,536"
2022-01-31,"$1,792"
2021-10-31,"$1,712"
2021-07-31,"$1,716"
2021-04-30,"$1,330"
2021-01-31,"$1,130"
2020-10-31,"$1,131"
2020-07-31,$841
2020-04-30,$755
2020-01-31,$892
2019-10-31,$698
2019-07-31,$571
2019-04-30,$666
2019-01-31,$771
2018-10-31,$757
2018-07-31,"$1,016"
2018-04-30,"$1,100"
2018-01-31,$165
2017-10-31,"$1,067"
2017-07-31,$925
2017-04-30,$824
2017-01-31,$703
2016-10-31,$610
2016-07-31,$505
2016-04-30,$320
2016-01-31,$286
2015-10-31,$336
2015-07-31,$329
2015-04-30,$364
2015-01-31,$348
2014-10-31,$256
2014-07-31,$301
2014-04-30,$262
2014-01-31,$253
2013-10-31,$183
2013-07-31,$168
2013-04-30,$-129
2013-01-31,$34
2012-10-31,$-515
2012-07-31,$218
2012-04-30,$289
2012-01-31,$117
2011-10-31,$455
2011-07-31,$476
2011-04-30,$489
2011-01-31,$506
2010-10-31,$468
2010-07-31,$123
2010-04-30,$264
2010-01-31,$83
2009-10-31,$138
2009-07-31,$-55
2009-04-30,$-255
2009-01-31,$-133
