UnitedHealth Group Quarterly Net Income (Millions of US $),UnitedHealth Group Quarterly Net Income (Millions of US $).1
2024-03-31,"$-1,409"
2023-12-31,"$5,455"
2023-09-30,"$5,841"
2023-06-30,"$5,474"
2023-03-31,"$5,611"
2022-12-31,"$4,761"
2022-09-30,"$5,262"
2022-06-30,"$5,070"
2022-03-31,"$5,027"
2021-12-31,"$4,071"
2021-09-30,"$4,086"
2021-06-30,"$4,266"
2021-03-31,"$4,862"
2020-12-31,"$2,212"
2020-09-30,"$3,172"
2020-06-30,"$6,637"
2020-03-31,"$3,382"
2019-12-31,"$3,541"
2019-09-30,"$3,538"
2019-06-30,"$3,293"
2019-03-31,"$3,467"
2018-12-31,"$3,040"
2018-09-30,"$3,188"
2018-06-30,"$2,922"
2018-03-31,"$2,836"
2017-12-31,"$3,617"
2017-09-30,"$2,485"
2017-06-30,"$2,284"
2017-03-31,"$2,172"
2016-12-31,"$1,684"
2016-09-30,"$1,968"
2016-06-30,"$1,754"
2016-03-31,"$1,611"
2015-12-31,"$1,218"
2015-09-30,"$1,597"
2015-06-30,"$1,585"
2015-03-31,"$1,413"
2014-12-31,"$1,510"
2014-09-30,"$1,602"
2014-06-30,"$1,408"
2014-03-31,"$1,099"
2013-12-31,"$1,427"
2013-09-30,"$1,570"
2013-06-30,"$1,436"
2013-03-31,"$1,192"
2012-12-31,"$1,244"
2012-09-30,"$1,557"
2012-06-30,"$1,337"
2012-03-31,"$1,388"
2011-12-31,"$1,258"
2011-09-30,"$1,271"
2011-06-30,"$1,267"
2011-03-31,"$1,346"
2010-12-31,"$1,043"
2010-09-30,"$1,277"
2010-06-30,"$1,123"
2010-03-31,"$1,191"
2009-12-31,$944
2009-09-30,"$1,035"
2009-06-30,$859
2009-03-31,$984
